Country,has_independence_day,Independence day date,has_national_day,National day date,ISO Code,Display Date
Afghanistan,TRUE,19 August / 15 February,TRUE,19.Aug,004,19.Aug
Albania,TRUE,28.Nov,TRUE,28.Nov,008,28.Nov
Algeria,TRUE,05.Jul,TRUE,5 July / 1 November,012,05.Jul
Andorra,FALSE,,TRUE,08.Sep,020,08.Sep
Angola,TRUE,11.Nov,TRUE,11.Nov,024,11.Nov
Antigua and Barbuda,TRUE,01.Nov,TRUE,01.Nov,028,01.Nov
Argentina,TRUE,09.Jul,TRUE,25 May / 9 July,032,09.Jul
Armenia,TRUE,28 May / 21 September,TRUE,28 May / 21 September,051,28.May
Australia,FALSE,,TRUE,26.Jan,036,26.Jan
Austria,FALSE,,TRUE,26.Oct,040,26.Oct
Azerbaijan,TRUE,28 May / 18 October,TRUE,28.May,031,28.May
Bahamas,FALSE,,TRUE,10.Jul,044,10.Jul
Bahrain,TRUE,16.Dec,TRUE,16.Dec,048,16.Dec
Bangladesh,TRUE,26 March / 16 December,TRUE,26 March / 16 December,050,26.Mar
Barbados,TRUE,30.Nov,TRUE,30.Nov,052,30.Nov
Belarus,TRUE,03.Jul,TRUE,03.Jul,112,03.Jul
Belgium,TRUE,21.Jul,TRUE,21.Jul,056,21.Jul
Belize,TRUE,21.Sep,TRUE,21.Sep,084,21.Sep
Benin,TRUE,01.Aug,TRUE,01.Aug,204,01.Aug
Bhutan,FALSE,,TRUE,17.Dec,064,17.Dec
Bolivia,TRUE,06.Aug,TRUE,06.Aug,068,06.Aug
Bosnia and Herzegovina,TRUE,01.Mar,FALSE,,070,01.Mar
Botswana,TRUE,30.Sep,TRUE,30.Sep,072,30.Sep
Brazil,TRUE,07.Sep,TRUE,07.Sep,076,07.Sep
Brunei,TRUE,23.Feb,TRUE,23.Feb,096,23.Feb
Bulgaria,TRUE,3 March / 22 September,TRUE,03.Mar,100,03.Mar
Burkina Faso,TRUE,11 December / 5 August,TRUE,11.Dec,854,11.Dec
Burundi,TRUE,01.Jul,TRUE,01.Jul,108,01.Jul
Cambodia,TRUE,09.Nov,TRUE,09.Nov,116,09.Nov
Cameroon,TRUE,20.May,TRUE,20.May,120,20.May
Canada,TRUE,01.Jul,TRUE,01.Jul,124,01.Jul
Cape Verde,TRUE,05.Jul,TRUE,05.Jul,132,05.Jul
